date,Bx,By,Bz,Mx,My,Mz,dst
19980826 23:30,-27.86,23.49,27.85,-48.08,22.79,24.29,-84.00
19980827 23:30,-75.04,24.61,38.81,-74.63,26.19,47.03,-89.50
19980828 00:30,-57.59,26.84,35.01,-53.99,23.95,42.93,-83.00
19980828 01:30,-56.70,19.44,34.75,-51.32,19.87,41.35,-83.50
19980828 02:30,-57.88,15.19,33.21,-57.98,16.07,39.60,-82.00
19980828 03:30,-68.36,20.56,33.38,-62.58,23.36,38.72,-81.50
19980828 04:30,-66.58,9.79,34.01,-71.47,8.71,38.15,-81.00
19980828 05:30,-80.06,18.43,33.11,-76.33,22.43,36.99,-75.50
19980828 06:30,-70.09,28.59,35.51,-66.46,24.87,35.03,-75.00
19980828 07:30,-87.86,24.05,29.25,-82.92,21.31,33.62,-75.00
19980828 08:30,-78.87,28.20,27.65,-73.68,20.48,32.65,-68.50
19980828 09:30,-73.37,19.76,23.97,-64.21,15.12,31.00,-64.00
19980828 10:30,-66.81,11.39,28.00,-56.50,8.85,30.57,-64.00
19980828 11:30,-74.17,3.92,30.45,-64.12,5.13,31.12,-65.50
19980828 12:30,-73.12,0.64,29.92,-69.91,8.29,31.82,-65.00
19980828 13:30,-64.34,-7.94,33.94,-62.48,1.96,31.92,-64.50
19980828 14:30,-72.68,-9.34,32.28,-66.44,2.12,32.68,-63.00
19980828 15:30,-66.29,-3.90,31.94,-52.29,6.40,33.62,-60.50
19980828 16:30,-50.04,-3.82,32.26,-45.91,-1.34,33.93,-62.50
19980828 17:30,-54.05,15.41,41.76,-37.70,16.85,36.55,-64.50
19980828 18:30,-49.32,17.01,43.43,-44.45,15.78,36.87,-61.00
19980828 19:30,-45.15,-1.34,32.65,-47.39,-1.64,34.42,-55.00
19980828 20:30,-41.87,0.37,31.70,-44.07,-1.93,33.39,-51.00
19980828 21:30,-43.44,3.25,31.00,-44.35,1.46,32.97,-51.00
19980828 22:30,-43.23,6.95,32.12,-42.14,3.76,32.97,-54.50
19980828 23:30,-30.24,21.18,33.85,-34.16,10.15,32.56,-58.50
19980829 00:30,-38.02,21.15,32.06,-40.51,17.18,32.53,-61.00
19980829 01:30,-49.31,27.79,31.71,-47.38,27.50,32.85,-59.50
